D,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
38154,-0.110739538,0.474848331,0.989130087,0.559986595,-0.370203322,-2.128050238,1.043804279,-1.153109748,4.631890897,-1.128296818
38155,0.959596907,1.691464733,-2.783992875,0.704853288,-0.063371959,3.155787725,0.413484392,0.435023232,1.369742787,-2.431688504
38156,2.548289086,-0.683107779,1.104096665,-2.924397621,0.710212887,-0.900549217,3.104268498,-2.252493708,3.138371529,1.765941096
38159,-0.008170493,-1.671362913,0.063970993,4.043627629,-3.606236328,-3.497137402,-0.578064962,0.875075821,-0.538510305,-3.008929574
38160,-3.822682815,0.4662949,1.589902244,0.06715879,1.781088333,0.314236158,-1.582161612,-1.598552972,4.972190793,0.545132713
38161,-1.106856653,3.610515435,3.818935765,2.822594126,0.955368576,-3.789389722,-0.248381681,0.276308688,-1.292664744,-1.114319124
38162,0.204600083,-0.795348586,-3.734248428,1.016522458,0.584591737,1.484329579,0.981725839,3.813220146,3.337272323,4.370069161
38163,1.178766003,3.96212265,-0.762721376,-1.026062351,-1.368350581,-1.348981186,2.087399687,0.730543471,0.107220748,-1.799822439
38166,0.275308731,1.066154453,-0.696134342,-2.773382036,-4.452028009,2.575969658,0.08665281,-3.466076081,5.213045437,0.447862634
38167,-1.008995535,-2.64884211,-2.096277972,2.531048915,-1.009519533,1.291487823,0.213506671,2.568804841,-2.560603573,-0.197695946
38168,-0.126696037,-4.056856065,-0.293850449,-1.111937622,-0.833942071,1.9881211,-0.887126393,-1.963769222,-0.421525039,2.523481444
38169,0.991697012,5.082915587,0.11199392,0.87121855,-0.069211606,0.638942735,4.315214755,2.296779643,-3.355737849,-2.132648078
38170,0.521567073,1.749906927,2.362229223,-0.514808997,1.236736685,-2.228450498,-0.088965348,-0.979474411,6.232050158,0.806129175
38174,-1.087966691,-3.202956334,-0.542660244,1.0080109,0.315031814,3.70882773,0.00486204,-2.117779277,-1.018301158,-0.770243667
38175,1.393474127,-0.908416827,0.246719008,0.073057677,-2.181135393,-5.062216314,-1.252650634,-0.24841804,-0.216840226,3.677136894
38176,-0.238084383,-2.922492985,-2.469122308,-0.329495522,0.866643915,2.146753484,0.029987107,-0.593935244,1.639372279,0.397337327
38177,-0.306221136,-0.262161211,2.382883626,-0.730584026,0.177540566,-1.769081485,2.719576204,-1.347510102,1.706955979,-3.552067809
38180,0.56901864,-0.476991104,-7.113883006,0.713038047,-4.511195733,-1.62756079,2.466198877,0.473393297,-0.616536021,-1.515791976
38181,-1.855107926,-1.445807486,-4.385208109,1.371270071,0.61365665,-0.228822518,-4.622961049,0.403929976,2.574345337,2.300271171
38182,0.641487165,2.559278929,2.515935906,1.31049927,1.016196646,1.026713796,-0.884353663,-2.244737184,-0.310229355,-2.065690264
38183,1.884283932,-1.724158488,-1.12751342,1.242016023,-3.640616458,-1.49520907,-1.151387465,2.611392033,1.967494157,-0.498679204
38184,0.308182307,-1.109851213,1.212039019,-2.478814394,-3.841318854,-0.828032844,2.426777732,2.264636642,2.336462473,0.125868988
38187,1.00196515,-3.338885613,-2.671152915,2.248490177,3.921632543,0.218745591,5.305062489,-0.023651118,2.181375266,0.577815325
38188,1.309038771,-0.725316878,-0.214296719,0.159829281,-1.618199775,-2.134358966,-1.921996837,0.12418344,3.714629614,-2.099799912
38189,-0.036446171,1.368005594,-0.766893553,2.24972768,-2.753492524,1.504219822,0.071126947,-0.725108146,1.182097932,0.31343265
38190,2.347037114,0.593881551,2.647687338,-0.548296808,0.785775677,-1.632380666,0.428134732,-0.609685207,-0.496570465,0.273410883
38191,-2.148106603,-0.882208775,2.541704844,0.567765672,-0.727237099,1.00060606,-1.089673686,2.189056275,-1.866681578,3.098588193
38194,-0.689419092,2.278303601,-1.715279005,-0.816703062,0.375454607,1.029284282,0.772984186,0.258090144,-0.605606005,1.401878122
38195,0.640437062,4.909093815,1.003484632,2.53757466,-1.133289356,1.578781673,3.445901341,-1.696264657,1.268707719,-2.290889579
38196,1.647561131,-1.782668513,0.326551404,1.115008242,-1.598612136,-1.719598512,1.106852248,3.027547822,-3.944816456,-0.133096857
38197,-5.447225027,1.008135934,-0.095187552,0.738750861,-0.06144889,-1.949901686,0.04401908,-1.211286418,1.71166748,-3.650312036
38198,-0.367471458,1.501929106,0.471792132,1.184536829,-0.672659245,-0.895810197,-1.29496023,1.396104877,-0.83475984,-0.265027303
38201,-1.708442921,-1.553444274,-2.392665913,2.485923753,-1.691401916,-1.6687628,1.900301694,1.291429328,-1.279941933,0.787685434
38202,-0.218440154,-2.161600261,4.636887526,0.902229191,1.348420107,-1.478584681,-2.195746259,1.685005191,3.353515624,2.884161389
38203,-1.263824057,1.332190409,1.10782928,-0.10809923,-1.21141158,-3.789966603,-1.488446438,-0.730329508,1.960605479,2.694902577
38204,-3.526587252,2.283142756,1.024235369,-4.195796404,1.883962167,-0.866842488,-1.998230503,-1.824640446,0.364098903,-4.069253525
38205,-1.869696701,0.184803219,3.285697482,-1.036044564,2.335362714,-1.275245847,0.217973987,2.158237548,-2.165773438,-4.124585228
38208,4.828368232,0.20791201,-5.079371812,-0.310974411,-0.17217661,-1.073008589,0.441046419,2.191589373,0.028172494,0.350193126
38209,2.702142134,-2.746293489,-0.877174143,-0.648828492,-1.59829806,4.038293772,-0.143575507,1.095833433,-0.758138905,0.14019612
38210,3.540500564,-0.50530138,-5.219317609,-0.041594081,0.375720662,-1.198723754,2.0685482,0.297375736,-0.346189866,-2.150546325
38211,1.109490882,1.213621705,3.75460492,1.939377575,0.78075277,0.053890251,1.879324069,-0.651039529,-1.206618035,-2.031151156
38212,-3.103212081,0.067448136,2.698799407,0.336419111,2.195764665,-2.377725701,-1.469234244,5.134208676,-1.079997291,-0.084319663
38215,-2.511179671,0.156547723,0.869138888,-0.053039837,-2.351789188,-2.086526592,-1.982765314,-1.206974067,1.366229223,0.350708439
38216,0.362176709,1.933309196,-5.617431221,-2.415629473,0.510829325,-0.554423015,3.898308241,2.676678721,-0.436437875,-0.029655574
38217,-1.080910694,2.211517812,-4.529809522,2.385251414,-1.868425523,-1.058928451,0.666705964,1.718724293,0.363240892,3.165309098
38218,-1.097164063,2.843197303,2.061041407,1.141456563,0.429342944,-0.250721979,0.056277135,-4.295859358,-0.934064629,1.213674679
38219,-1.060692576,1.548457588,0.681863933,0.049500688,-0.364581335,4.582792727,-2.915238696,-0.579407569,-0.618105916,-1.947886677
38222,1.76290933,2.010673982,-2.415398736,-2.543193882,-0.912564389,1.173253616,0.266000794,-0.480326503,-1.532581863,4.299965022
38223,-0.834148149,0.365280553,1.606704193,0.584067046,1.56737726,0.897743926,0.318796985,-1.067876635,2.298785459,0.415801276
38224,1.936848075,-2.94475243,-0.781801887,1.480533837,1.962531718,0.807181188,4.604806185,-2.517270702,0.012261057,0.200315588
38225,6.106846385,-2.836061915,-2.575394051,-0.030740205,2.337502944,-0.464637021,-6.272281378,0.033467986,0.962053731,-4.739445455
38226,-0.737320245,0.303316374,0.188595945,0.817209027,1.093146059,2.91263318,0.348589571,-1.770472709,4.422042514,1.155938462
38229,2.904477254,0.922205171,1.036792649,0.536199014,-0.958585269,-3.461929274,-1.397986275,3.171279493,-2.623344516,-0.511267929
38230,-1.783607282,0.089942491,-1.727112204,3.404379268,-3.349232159,-1.497093697,3.191304615,-0.57222255,-1.20805916,-1.425260469
38231,-0.915186261,-0.348388645,-0.762194189,0.000740193,1.900082621,-3.459740423,-0.54952675,4.385128343,-0.881867057,2.486497571
38232,-3.199403489,1.941709082,1.433032391,0.732316054,-4.941400587,-2.313553733,0.044683589,0.470359765,0.819315442,0.967538371
38233,2.583044383,-0.275430006,2.473216674,-0.026026814,-0.414187034,-1.637948412,-5.071732875,-1.980429372,-3.573983836,-1.395613668
38237,-0.222989413,0.870186699,-2.402698756,2.449488985,-2.83344617,0.875488658,-0.385877938,3.195084677,3.440415303,2.82520237
38238,1.721940969,-4.09895749,-0.944370339,-1.989513879,1.588835138,-1.338330566,-0.351795541,3.671226544,-1.625751486,1.326764871
38239,-2.217629057,3.05418382,5.195422203,-0.171928008,4.18950543,1.322217733,-0.376741413,0.079289904,-4.106639037,-0.129678239
38240,-0.060113537,0.863950343,1.57523678,-0.008340389,-3.408217981,0.752822979,-1.996234378,2.352120031,2.850359501,4.266177582
38243,-5.783294804,2.298936582,-0.661855389,-0.699023692,2.875421421,1.427799439,-3.20917909,3.924940398,2.114406493,2.704121197
38244,3.405084852,-1.894544864,-1.105205439,-1.082332987,-4.118818873,2.862715649,3.98536125,1.189018063,-1.962382125,0.072573301
38245,-1.00015029,0.3273529,-1.081386276,0.227417887,0.689354669,1.028324511,2.433877172,0.73543912,0.133256703,3.716183901
38246,1.472189461,-0.376039144,-2.293996146,1.630582627,1.294013274,4.135167534,1.880159594,-0.707755127,0.962378406,-1.554639028
38247,-1.378584447,-3.413275622,0.107611788,-0.23688152,2.042287271,0.710807519,-3.338105056,1.474919834,-2.800717191,1.117323216
38250,-3.24446973,1.395201356,2.049558148,0.049254217,-1.09706651,1.917134924,-2.436457614,0.91029721,-4.920525374,2.086169285
38251,-1.319594099,-1.262513415,-2.934490481,-1.666047551,-3.074959522,-2.606501692,2.242456797,3.193178529,1.463997889,-1.374554361
38252,-5.515241498,-2.116895785,-1.98758852,3.713226014,2.378419999,-0.281176092,2.516494075,-2.280213306,0.077978474,-1.689892593
38253,3.802846729,0.639605106,-1.78460025,-0.222836985,-1.31237857,1.268823061,-2.878313442,0.857844472,0.125131177,2.365806012
38254,-0.935113513,-0.335871813,-0.691120383,0.702411188,-1.733621772,-1.382298574,-1.559035703,-3.010459826,2.200837628,3.109085553
38257,1.503809052,-3.330754941,-1.495739119,0.490156322,1.252811499,1.626445666,-5.155094465,-2.979001127,-0.13625583,-2.200188377
38258,-2.339156533,1.981254301,-1.570431591,-0.355145487,-3.148958623,3.670912428,1.332835367,-1.028790702,-0.872057725,1.798639454
38259,1.471135329,-0.147413675,4.192843724,0.203414442,3.303484936,-5.186555014,3.503306234,-1.360440232,-1.585143638,-4.137714582
38260,2.362090778,2.433727908,-5.015711028,0.704804159,-1.408606835,1.195118725,-2.258641859,-0.36393544,-1.219813747,-4.510242961
38261,-0.005829469,1.671329798,-1.753485313,0.257528911,2.591526224,-0.109263812,1.621247765,1.101493417,3.710857306,-0.312216481
38264,0.038945865,1.410054513,2.215880246,-0.08126712,2.060410628,-0.616362911,-2.227183139,2.499978481,1.869754381,2.938685848
38265,2.673295806,-0.789675278,-1.15082534,1.612003935,-2.340604696,2.209235807,2.480494892,1.459225665,-2.395556799,-2.157062343
38266,-0.055098241,3.317329689,-1.334468167,0.371631955,-4.786956201,0.288359069,-0.347889326,5.071412297,-1.468185349,1.486904068
38267,2.81880641,2.575195121,-0.352071961,-4.400781447,0.786846219,0.888475542,2.170837667,-0.762212998,-3.018833425,0.604126252
38268,3.065272467,-0.752903692,0.507020703,2.440558935,0.406195041,1.886510374,3.400996806,1.432401982,0.412558827,-3.152836027
38271,4.099737175,-0.911271338,-3.754780414,-1.470267555,-3.605239415,0.931391317,-1.476907943,3.570926561,-0.707536254,-0.804445872
38272,0.715908892,1.363046988,-1.984638794,-0.843912222,-0.330475179,0.171922452,3.294393543,2.536319476,2.298634132,0.849259127
38273,-3.038394874,-2.467777583,0.938581066,-1.322509388,-1.179854972,1.344851234,3.024398811,0.897603068,4.402613052,-2.124717827
38274,1.029749929,-1.218844288,0.991162202,-1.130613985,-2.681514311,-0.342209644,-0.843032231,1.855188076,0.307373223,-3.213144568
38275,-0.756450287,1.76595854,-4.870438175,1.119879035,0.13729928,3.212508475,-2.276277724,-1.49859005,2.497143814,1.068085592
38278,-1.263762177,-2.278636649,0.343725584,-0.262921693,0.360162904,-3.524713382,1.890566892,0.657094469,0.096445864,-1.799253592
38279,1.290838475,2.517796281,-2.247896034,1.954211676,-2.240715395,0.980162442,-1.277928331,0.595873145,0.047847803,0.55861101
38280,4.144877318,1.846041793,-1.433616615,-2.465592598,0.556280905,-0.347680742,0.028954577,-0.07577627,-0.534529148,-1.374244048
38281,1.358375661,-0.453075043,-2.052168137,0.973478467,-1.607237777,-2.208648633,-0.070849232,-0.668262365,1.700331615,-0.457066527
38282,0.362676177,-0.692954093,-1.483918799,-4.895641537,1.752557439,-0.086736711,0.51710577,1.853680615,-2.8562385,3.209133265
38285,-1.765256405,-0.802612023,-2.194125432,2.876686379,0.714811306,4.148184023,1.051177596,-2.010970297,3.338477547,1.500783656
38286,0.541498402,0.003486689,0.617940391,3.654320317,-1.898340329,1.121653578,0.42145318,-1.762917074,2.746958817,-0.149352334
38287,0.374448354,3.776843523,-0.418407323,-1.816423375,0.308013155,-0.655814251,-1.181676936,0.155986944,0.255369593,-2.225622499
38288,3.339590549,-0.05589106,4.021515351,-0.837119265,-0.314530563,4.165949035,1.240195966,0.995685369,-2.748948471,0.895717101
38289,4.741332577,-3.773491772,-3.703751585,1.488252946,2.076452419,0.501162651,1.908866881,-0.582916796,0.194964858,-0.66348137
38292,-2.801205625,1.148301189,-0.38081458,-0.752869167,1.734622062,1.344325222,2.338670549,-2.64818718,3.640369982,-1.324844496
38293,0.622530883,0.050082298,-0.064803975,0.625453056,3.497984442,-4.664305638,0.204739066,-1.264876633,1.764088306,-2.203694362
38294,2.257404042,-2.552292731,-1.442856118,-4.971655144,-1.351669937,-1.216687361,0.508368423,0.713786575,0.081967618,-0.791332273
38295,-1.185341807,-2.353632716,-0.551607693,-3.083665843,1.473585032,-0.984945466,2.054654111,-0.488213317,-2.919409074,-3.409484308
38296,3.259267304,-3.304970958,-0.42507068,2.537490368,2.027948215,-0.435332799,0.029038592,0.462602106,4.683330796,-0.929861508
38299,-1.233307979,-1.845219934,-1.775842916,-0.31947865,-2.336001923,-0.618810834,-1.329211902,-0.756489813,-2.480310688,0.822575712
38300,3.583238128,1.945430899,-1.063964391,-3.557655189,-0.95111796,-4.253661662,1.376602569,-0.462629007,-1.254467095,-0.384221619
38301,2.44184509,-0.984041548,-3.282496598,3.527564887,-0.84024027,1.286017756,-1.254966827,1.461861719,1.165970083,2.885218944
38302,-1.163737767,2.230487512,2.848068226,2.461325863,1.162719516,0.945517258,-1.024561051,-3.927607652,1.966154852,1.330916517
38303,2.023443449,-0.111587709,1.999271873,1.510096883,-1.219645839,-2.576335161,-2.746965555,-0.735221955,-3.065437447,0.921928405
38306,2.882592993,3.188048736,0.751947884,3.226742853,0.462340866,0.706783564,0.36589794,0.580195115,-3.821669621,1.625895192
38307,-2.276795128,0.264044046,0.538613669,-0.825243267,-0.020944463,0.908174575,1.307891541,-0.863486061,-2.505854639,-0.566924532
38308,-0.15436188,-3.875776583,-0.461265122,1.138016068,0.216804988,-0.896385889,3.557631824,-2.816713933,-4.302790088,0.066734655
38309,-2.438417218,1.324879099,-2.868745064,-3.430363391,1.939734211,-2.284169218,2.265873058,1.82271391,-3.389475587,-1.061407068
38310,0.247700251,-3.36944888,0.403804965,-2.199106426,-0.516345602,0.583550354,-3.54684716,1.220971198,-0.194254742,-2.298299508
38313,0.206749158,2.245460451,-5.959093294,-0.521654344,-0.771485241,-0.944623031,0.090254004,-2.314343573,2.719186499,2.778767272
38314,-0.869512831,0.887059776,-4.376868228,-2.723348466,-1.855825548,-0.350236915,2.518068086,0.942421772,1.378415786,0.866525205
38315,-1.103733173,-2.890757389,2.05477105,-0.367902286,0.347112854,-0.339795594,1.47125272,-0.513455045,-1.868994492,-0.743670281
38317,-0.973571939,-2.726308802,-0.88803729,-0.625374125,2.277420114,-0.452512085,-0.045947117,-1.588712165,-0.467371416,-0.418821886
38320,0.885553961,-0.121743309,0.375248142,0.69372363,1.331386947,-2.435348524,-2.153026136,0.622010366,2.736265857,0.204186706
38321,2.238436736,0.03211091,0.703876531,-0.489658024,3.220337186,0.918868769,0.849025373,0.172099775,0.694500523,-3.302151394
38322,-3.415232341,-0.139872957,1.136129157,1.935492909,-2.247807673,-5.718569926,-1.160253969,1.595721693,-0.481029632,-1.119664145
38323,1.319102228,-0.167632554,3.730522228,1.450309458,-0.527895471,-4.780500814,-2.905246758,0.370753691,-1.763480545,1.244229908
